batch_size,learning_rate,weight_decay,repeats,score
8,1e-05,0.1,0,0.7883765697479248
8,1e-05,0.01,0,0.7893088459968567
8,2e-05,0.1,0,0.7777861952781677
8,2e-05,0.01,0,0.8021222949028015
8,3e-05,0.1,0,0.759882390499115
8,3e-05,0.01,0,0.7744295001029968
8,5e-05,0.1,0,0.7527015805244446
8,5e-05,0.01,0,0.7404594421386719
16,1e-05,0.1,0,0.8222960233688354
16,1e-05,0.01,0,0.8292123675346375
16,2e-05,0.1,0,0.8209534883499146
16,2e-05,0.01,0,0.7936953902244568
16,3e-05,0.1,0,0.796085774898529
16,3e-05,0.01,0,0.7622190713882446
16,5e-05,0.1,0,0.7477007508277893
16,5e-05,0.01,0,0.7608796954154968
32,1e-05,0.1,0,0.8110262751579285
32,1e-05,0.01,0,0.8066421747207642
32,2e-05,0.1,0,0.8076728582382202
32,2e-05,0.01,0,0.770723283290863
32,3e-05,0.1,0,0.7967820167541504
32,3e-05,0.01,0,0.7826018333435059
32,5e-05,0.1,0,0.7867472767829895
32,5e-05,0.01,0,0.772611141204834
8,7e-05,0.1,0,0.7857845425605774
8,7e-05,0.01,0,0.8155533671379089
8,9e-05,0.1,0,0.8035067915916443
8,9e-05,0.01,0,0.8359823226928711
16,7e-05,0.1,0,0.8354944586753845
16,7e-05,0.01,0,0.8204646110534668
16,9e-05,0.1,0,0.8180022239685059
16,9e-05,0.01,0,0.8453077673912048
32,7e-05,0.1,0,0.8705929517745972
32,7e-05,0.01,0,0.8532159924507141
32,9e-05,0.1,0,0.8596633076667786
32,9e-05,0.01,0,0.8777257204055786
